file,sensor,technology,country,freq_start,freq_end,row,enc_0,enc_1,enc_2,enc_3,enc_4,enc_5,enc_6,enc_7,enc_8,enc_9,enc_10,enc_11,enc_12,enc_13,enc_14,enc_15
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,34,3.6792314,0.0,1.2834456,0.85821015,1.3301646,0.0,2.1678417,1.1095046,2.7123976,0.7959053,0.0,0.0,1.7016433,0.79141057,2.3784034,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,35,3.450358,0.0,1.393149,0.5328843,1.6237684,0.0,2.0439632,1.4557133,2.313088,0.82262844,0.0,0.0,2.2112877,0.32401603,1.8033592,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,36,3.6632528,0.0,1.1968552,0.7681679,1.4037544,0.0,1.9223565,0.9681154,2.8597884,0.8527183,0.0,0.0,1.6512767,0.60642076,2.2326744,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,37,3.810434,0.0,1.1097383,0.9261585,1.3804703,0.0,2.0392232,0.9222071,2.5863097,0.828758,0.0,0.0,1.6214162,0.49619493,2.3172429,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,38,3.530357,0.0,1.8546554,0.8146291,1.2939277,0.0,2.4113436,1.4089905,2.8345003,0.86849743,0.0,0.0,1.6178441,0.9850104,2.469059,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,39,3.650742,0.0,1.2686402,0.7995636,1.3251384,0.0,2.073564,1.0238541,2.783045,0.83648735,0.0,0.0,1.6270005,0.6578686,2.2124524,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,40,3.4408772,0.0,1.6204239,0.7418878,1.1772072,0.0,2.3351398,1.3133593,2.842367,0.78833926,0.0,0.0,1.6574068,1.027703,2.288712,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,41,3.390752,0.0,1.4444798,0.47293472,1.5812302,0.0,2.092667,1.5089326,2.3375437,0.7888482,0.0,0.0,2.2549427,0.48361135,1.8218204,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,42,3.5541475,0.0,1.0427092,0.60099906,1.6092391,0.0,1.962165,1.2317499,2.1918163,0.7248074,0.0,0.0,2.204374,0.15973976,1.6341577,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,43,3.5756638,0.0,1.3400807,1.035738,1.1448568,0.0,2.4744968,1.0478895,2.640019,0.9058074,0.0,0.0,1.9156866,0.5489418,2.075323,0.0
